"Onliner ID";Раздел;Производитель;Товар;Артикул;id-предложения;Цена;Валюта;"Описание предложения";Изготовитель;Импортер;"Сервисный центр";Гарантия;"Срок доставки по Минску";"Срок доставки по РБ";"Только для юр. лиц";"Наличие на складе";"В наличии на складе";"Срок рассрочки по Халве";"Onliner Prime";"Цена по промокоду";"Повышенная рассрочка Minipay";"Кредит на «Родныя тавары»"
5012406;"Электросамокаты и электроскутеры";Shtenli;"Model 3 GTR PROF li-on 36/7.8";;5012406001;790,00;BYN;"Сумка в комплекте. Гарантия 12 месяцев. Доставляем по всей РБ. Удобный самовывоз. Профессиональная консультация. Официальная гарантия. Ждем Вас!";"Штенли Груп Цонструцтион Инжинирг. Роберт-Бош-Штрассе. 10, 64807 Диебург, Германия.";"ООО ""ВорлдБизнесТрейд""";"г. Минск ул. Медвежино 10а";12;0;2;нет;in_stock;да;;нет;0,00;нет;нет
5012410;"Электросамокаты и электроскутеры";Shtenli;"Model 3 GTR PROF li-on 36/7.8 (с амортизаторами)";;5012410001;890,00;BYN;"Сумка в комплекте. Гарантия 12 месяцев. Доставляем по всей РБ. Удобный самовывоз. Профессиональная консультация. Официальная гарантия. Ждем Вас!";"Штенли Груп Цонструцтион Инжинирг. Роберт-Бош-Штрассе. 10, 64807 Диебург, Германия.";"ООО ""ВорлдБизнесТрейд""";"г. Минск ул. Медвежино 10а";12;0;2;нет;in_stock;да;;нет;0,00;нет;нет
5012411;"Электросамокаты и электроскутеры";Shtenli;"Model 3 GTR PROF li-on 36/7.8 (с сиденьем и амортизаторами)";;5012411001;1090,00;BYN;"Сумка в комплекте. Гарантия 12 месяцев. Доставляем по всей РБ. Удобный самовывоз. Профессиональная консультация. Официальная гарантия. Ждем Вас!";"Штенли Груп Цонструцтион Инжинирг. Роберт-Бош-Штрассе. 10, 64807 Диебург, Германия.";"ООО ""ВорлдБизнесТрейд""";"г. Минск ул. Медвежино 10а";12;0;2;нет;in_stock;да;;нет;0,00;нет;нет
5012408;"Электросамокаты и электроскутеры";Shtenli;"Model 3 GTR PROF li-on 36/7.8 (с сиденьем)";;5012408001;990,00;BYN;"Сумка в комплекте. Гарантия 12 месяцев. Доставляем по всей РБ. Удобный самовывоз. Профессиональная консультация. Официальная гарантия. Ждем Вас!";"Штенли Груп Цонструцтион Инжинирг. Роберт-Бош-Штрассе. 10, 64807 Диебург, Германия.";"ООО ""ВорлдБизнесТрейд""";"г. Минск ул. Медвежино 10а";12;0;2;нет;in_stock;да;;нет;0,00;нет;нет
4732446;Электровелосипеды;Shtenli;"Zsun Model F8 10.4А";;4732446001;1340,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Штенли Груп Цонструцтион Инжинирг. Роберт-Бош-Штрассе. 10, 64807 Диебург, Германия.";"ООО ""ВорлдБизнесТрейд""";"г. Минск ул. Медвежино 10а";12;0;2;нет;in_stock;да;;нет;0,00;нет;нет
4757482;Видеокарты;ASRock;"Radeon RX 7650 GRE Challenger 8GB OC RX7650GRE CL 8GO";"RX7650GRE CL 8GO";4757482001;1024,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Все варианты: ASRock Radeon RX 7650 GRE Challenger 8GB OC RX7650GRE CL 8GO";"ТрайдексБелПлюс ООО 223016 Минская обл. Минский р-н Новодворский с/с, 33/1-8 к.64 р-н д. Большое Стиклево";"г.Минск, ул. Быховская, д. 35";12;0;2;нет;;нет;;нет;1020,00;нет;нет
493665;Смесители;Grohe;"BauEdge 23333000";23333000;493665001;309,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Грохе АГ. Германия, Фелдмухлеплатз 15 40545 Дусселдорф В.";"ООО САНТЕХПРОМ, 223021, аг. Озерцо, ул. Центральная 1Б Частное предприятие ""Мир моек"", 220007, г. Минск , ул. Володько д.6, корпус 6., офис 19";"2200007, г. Минск, ул. Быховская, д. 35, офис 11Н";12;7;8;нет;;нет;;нет;299,00;нет;нет
767409;Смесители;Grohe;"BauEdge 23330000";23330000;767409001;309,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Грохе АГ. Германия, Фелдмухлеплатз 15 40545 Дусселдорф В.";"ООО САНТЕХПРОМ, 223021, аг. Озерцо, ул. Центральная 1Б Частное предприятие ""Мир моек"", 220007, г. Минск , ул. Володько д.6, корпус 6., офис 19";"2200007, г. Минск, ул. Быховская, д. 35, офис 11Н";12;7;8;нет;;нет;;нет;299,00;нет;нет
1190786;Смесители;Grohe;"BauEdge 23758000";23758000;1190786001;365,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Грохе АГ. Германия, Фелдмухлеплатз 15 40545 Дусселдорф В.";"ООО САНТЕХПРОМ, 223021, аг. Озерцо, ул. Центральная 1Б Частное предприятие ""Мир моек"", 220007, г. Минск , ул. Володько д.6, корпус 6., офис 19";"2200007, г. Минск, ул. Быховская, д. 35, офис 11Н";12;7;8;нет;;нет;;нет;355,00;нет;нет
320278;Смесители;Grohe;"Eurosmart Cosmopolitan 23327000 (хром)";23327000;320278001;449,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Грохе АГ. Германия, Фелдмухлеплатз 15 40545 Дусселдорф В.";"ООО САНТЕХПРОМ, 223021, аг. Озерцо, ул. Центральная 1Б Частное предприятие ""Мир моек"", 220007, г. Минск , ул. Володько д.6, корпус 6., офис 19";"2200007, г. Минск, ул. Быховская, д. 35, офис 11Н";12;7;8;нет;;нет;;нет;439,00;нет;нет
